room_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,minimum_nights,availability_365,number_of_reviews,review_scores_rating,price,host_days,host_identity_verified,host_is_superhost
304835.0,-33.87664292,151.217264,2.0,1.0,1.0,1.0,200.0,99.0,1.0,93.0,259.0,95.0,130.0,2870.0,1.0,1.0
307028.0,-33.64868451,151.319961,5.0,1.0,3.0,3.0,300.0,60.0,1.0,344.0,134.0,99.0,161.0,2719.0,0.0,0.0
310414.0,-33.88190565,151.2176569,2.0,1.0,1.0,1.0,0.0,40.0,3.0,256.0,104.0,97.0,105.0,2068.0,1.0,1.0
314426.0,-33.89154367,151.1934251,6.0,2.0,4.0,5.0,200.0,80.0,3.0,184.0,34.0,93.0,220.0,2525.0,1.0,1.0
315059.0,-33.88156743,151.2156349,2.0,1.0,1.0,1.0,300.0,30.0,2.0,0.0,39.0,96.0,81.0,2453.0,1.0,0.0
318095.0,-33.77934647,151.1635108,6.0,1.0,2.0,4.0,300.0,60.0,2.0,363.0,16.0,100.0,121.0,2352.0,1.0,0.0
318591.0,-33.87743378,151.1792597,6.0,2.5,3.0,3.0,300.0,200.0,4.0,0.0,71.0,96.0,350.0,2353.0,1.0,0.0
324918.0,-33.89866674,151.1841018,4.0,1.5,2.0,3.0,400.0,100.0,4.0,156.0,6.0,92.0,250.0,2068.0,1.0,0.0
329096.0,-33.89656069,151.1729594,5.0,2.0,3.0,4.0,350.0,250.0,7.0,0.0,1.0,100.0,200.0,2412.0,0.0,0.0
330547.0,-33.85235762,151.15955,2.0,2.0,1.0,1.0,0.0,25.0,3.0,359.0,31.0,90.0,74.0,2372.0,1.0,0.0
332960.0,-33.86788146,151.19074,2.0,1.5,1.0,1.0,600.0,50.0,1.0,21.0,23.0,97.0,108.0,2328.0,1.0,0.0
333002.0,-33.86558772,151.1899679,2.0,1.5,1.0,1.0,600.0,50.0,1.0,25.0,18.0,96.0,108.0,2328.0,1.0,0.0
334817.0,-33.85826013,151.186181,7.0,2.0,3.0,4.0,500.0,200.0,3.0,280.0,57.0,96.0,285.0,2529.0,1.0,1.0
340563.0,-33.83713535,151.1965886,2.0,1.5,1.0,1.0,300.0,60.0,3.0,359.0,5.0,95.0,119.0,2128.0,0.0,0.0
355773.0,-33.881702,151.1953896,8.0,1.5,3.0,4.0,300.0,100.0,3.0,88.0,85.0,97.0,420.0,3265.0,1.0,1.0
358077.0,-33.88309018,151.2122058,4.0,1.0,2.0,3.0,1349.0,67.0,10.0,365.0,6.0,83.0,162.0,2319.0,1.0,0.0
360141.0,-33.91884907,151.1526026,2.0,1.0,1.0,2.0,0.0,50.0,6.0,160.0,129.0,98.0,130.0,2316.0,1.0,1.0
361899.0,-33.7349186,151.0740013,2.0,1.5,1.0,1.0,300.0,60.0,1.0,309.0,35.0,97.0,76.0,2314.0,1.0,0.0
361912.0,-33.73553454,151.0751879,2.0,1.0,1.0,1.0,300.0,60.0,1.0,309.0,9.0,96.0,80.0,2314.0,1.0,0.0
